"state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","year"
"NY",65000,80,5200000,2444000,0.7,3640000,1998
"OR",50000,45,2250000,1620000,0.9,2025000,1998
"TX",91000,77,7007000,1612000,0.62,4344000,1998
"NY",69000,70,4830000,2077000,0.66,3188000,1999
"OR",45000,57,2565000,2026000,0.8,2052000,1999
"TX",108000,81,8748000,2799000,0.64,5599000,1999
"NY",58000,80,4640000,2274000,0.55,2552000,2000
"OR",48000,51,2448000,1665000,0.66,1616000,2000
"TX",105000,79,8295000,2986000,0.57,4728000,2000
"NY",53000,70,3710000,1781000,0.79,2931000,2001
"OR",44000,44,1936000,1200000,0.74,1433000,2001
"TX",97000,79,7663000,1533000,0.65,4981000,2001
"NY",60000,98,5880000,2470000,1.25,7350000,2002
"OR",43000,49,2107000,885000,1.35,2844000,2002
"TX",114000,67,7638000,985000,1.14,8707000,2002
"NY",67000,72,4824000,1640000,1.36,6561000,2003
"OR",42000,51,2142000,964000,1.27,2720000,2003
"TX",140000,67,9380000,1126000,1.4,13132000,2003
"NY",64000,67,4288000,1887000,1.36,5832000,2004
"OR",42000,54,2268000,1111000,1.21,2744000,2004
"TX",116000,76,8816000,1411000,0.97,8552000,2004
"NY",59000,73,4307000,2283000,1.34,5771000,2005
"OR",39000,42,1638000,557000,1.08,1769000,2005
"TX",84000,71,5964000,954000,0.86,5129000,2005
"NY",58000,64,3712000,2376000,1.3,4826000,2006
"OR",46000,48,2208000,729000,1.05,2318000,2006
"TX",82000,70,5740000,976000,0.89,5109000,2006
"NY",53000,57,3021000,1843000,1.38,4169000,2007
"OR",46000,43,1978000,1088000,1.31,2591000,2007
"TX",105000,82,8610000,1550000,0.96,8266000,2007
"NY",50000,70,3500000,1260000,1.65,5775000,2008
"OR",50000,43,2150000,1097000,1.41,3032000,2008
"TX",77000,64,4928000,1380000,1.34,6604000,2008
"NY",45000,65,2925000,936000,1.93,5645000,2009
"OR",55000,34,1870000,767000,1.54,2880000,2009
"TX",89000,63,5607000,1065000,1.39,7794000,2009
"NY",45000,64,2880000,1123000,1.96,5645000,2010
"OR",59000,39,2301000,874000,1.63,3751000,2010
"TX",1e+05,72,7200000,792000,1.51,10872000,2010
"NY",49000,56,2744000,1235000,1.96,5378000,2011
"OR",60000,34,2040000,755000,1.68,3427000,2011
"TX",78000,58,4524000,633000,1.78,8053000,2011
"NY",51000,51,2601000,988000,2.23,5800000,2012
"OR",60000,32,1920000,845000,2.16,4147000,2012
"TX",92000,52,4784000,718000,2,9568000,2012
